nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000254	Isabelle Adjani	1955	\N	actress,soundtrack,producer	tt0082933,tt0094828,tt0073114,tt0110963
nm0000255	Ben Affleck	1972	\N	producer,actor,writer	tt2267998,tt0840361,tt0120591,tt1024648
nm0000256	Jenny Agutter	1952	\N	actress,soundtrack	tt0099253,tt0074812,tt0082010,tt0848228
nm0000257	Alan Alda	1936	\N	actor,miscellaneous,soundtrack	tt0097123,tt0068098,tt0116242,tt0082405
nm0000258	Stephanie Zimbalist	1956	\N	actress,writer	tt0076993,tt0080402,tt0083470,tt3717214
nm0000259	Ginger Lynn	1962	\N	actress,director,writer	tt0134898,tt0210365,tt0395584,tt0125377
nm0000260	Joan Allen	1956	\N	actress,producer	tt0452608,tt3170832,tt0120789,tt0115988
nm0000261	Karen Allen	1951	\N	actress,director,soundtrack	tt0088172,tt0367882,tt0077975,tt0082971
nm0000262	Nancy Allen	1950	\N	actress,soundtrack	tt0107978,tt0080661,tt0093870,tt0100502
nm0000263	Kirstie Alley	1951	\N	actress,producer,writer	tt0157503,tt0097778,tt0084726,tt0113442
nm0000264	Pedro Almodóvar	1949	\N	writer,director,soundtrack	tt1189073,tt0441909,tt0287467,tt0095675
nm0000265	Robert Altman	1925	2006	director,producer,writer	tt0280707,tt0105151,tt0066026,tt0108122
nm0000266	Ursula Andress	1936	\N	actress	tt0061452,tt0060177,tt0082186,tt0055928
nm0000267	Julie Andrews	1935	\N	actress,soundtrack,producer	tt0059742,tt0247638,tt0062362,tt0058331
nm0000268	Ann-Margret	1941	\N	actress,soundtrack	tt0056891,tt0073812,tt0077321,tt0107050
nm0000269	Jean-Jacques Annaud	1943	\N	director,writer,producer	tt0215750,tt0091605,tt0120102,tt2909116
nm0000270	Gabrielle Anwar	1970	\N	actress,producer,soundtrack	tt0810788,tt0108333,tt0105323,tt0103262
nm0000271	Anne Archer	1947	\N	actress,producer,soundtrack	tt0093010,tt0105112,tt0821640,tt0108122
nm0000272	Fanny Ardant	1949	\N	actress,director,writer	tt0086551,tt0283832,tt0127536,tt0401711
nm0000273	Alan Arkin	1934	\N	actor,soundtrack,director	tt0104348,tt0099487,tt0449059,tt1024648
nm0000274	David Arquette	1971	\N	producer,actor,director	tt0151738,tt0120082,tt0134084,tt0271367
nm0000275	Rosanna Arquette	1959	\N	actress,director,producer	tt0190138,tt0088680,tt0089017,tt0110912
nm0000276	Sean Astin	1971	\N	actor,producer,director	tt0089218,tt0167260,tt0167261,tt0120737
nm0000277	Richard Attenborough	1923	2014	actor,producer,director	tt0110527,tt0057115,tt0083987,tt0107290
nm0000278	Pernilla August	1958	\N	actress,director,writer	tt0121765,tt1437366,tt0104350,tt0120915
nm0000279	Hank Azaria	1964	\N	actor,soundtrack,producer	tt0132347,tt0096697,tt1839481,tt0115685
nm0000280	Catherine Bach	1954	\N	actress,soundtrack	tt0072288,tt0078607,tt2282737,tt1414382
nm0000281	Scott Baio	1960	\N	actor,director,producer	tt0070992,tt0367279,tt0270846,tt0281680
nm0000282	Scott Bairstow	1970	\N	actor	tt0283084,tt0118730,tt0119925,tt0120512
nm0000283	Brenda Bakke	1963	\N	actress	tt0114781,tt0114608,tt0107144,tt0119488
nm0000284	Adam Baldwin	1962	\N	actor,soundtrack	tt0093058,tt0100403,tt0116629,tt0379786
nm0000285	Alec Baldwin	1958	\N	actor,producer,soundtrack	tt0104348,tt1230414,tt0407887,tt0318374
nm0000286	Stephen Baldwin	1966	\N	actor,producer,director	tt0115683,tt0158622,tt0486583,tt0114814
nm0000287	William Baldwin	1963	\N	actor,producer,stunts	tt0101393,tt0108162,tt0113010,tt0367089
nm0000288	Christian Bale	1974	\N	actor,editorial_department,producer	tt0468569,tt0964517,tt0372784,tt1800241
nm0000289	Ellen Barkin	1954	\N	actress,producer	tt0098273,tt0108330,tt0116277,tt0157503
nm0000290	John Barry	1933	2011	music_department,soundtrack,composer	tt0089755,tt0093428,tt0099348,tt0111255
nm0000291	Angela Bassett	1958	\N	actress,producer,director	tt0108551,tt0118884,tt0114558,tt2302755
nm0000292	Michelle Bauer	1958	\N	actress,miscellaneous,costume_department	tt0094998,tt0181017,tt0097703,tt0103213
nm0000293	Sean Bean	1959	\N	actor,producer	tt1181791,tt0120737,tt0167261,tt0944947
nm0000294	Amanda Bearse	1958	\N	actress,director,producer	tt0247121,tt0338067,tt0092400,tt0089175
nm0000295	Kate Beckinsale	1973	\N	actress,soundtrack	tt0401855,tt0338751,tt0213149,tt0320691
nm0000296	Robert Beltran	1953	\N	actor,soundtrack	tt0085862,tt0112178,tt0113987,tt0087799
nm0000297	Tom Berenger	1949	\N	actor,producer,writer	tt1375666,tt0097815,tt0091763,tt1433108
nm0000298	Candice Bergen	1946	\N	actress,producer,soundtrack	tt0901476,tt0094514,tt0212346,tt0256415
nm0000299	Michael Biehn	1956	\N	actor,producer,director	tt0108358,tt1077258,tt0088247,tt0090605
nm0000300	Juliette Binoche	1964	\N	actress,art_department,miscellaneous	tt1219827,tt0116209,tt0108394,tt0241303
nm0000301	Thora Birch	1982	\N	actress,producer,soundtrack	tt0105112,tt0107120,tt0162346
nm0000302	Jacqueline Bisset	1944	\N	actress,producer	tt0421054,tt0062765,tt0071877,tt0088322
nm0000303	Honor Blackman	1925	\N	actress,soundtrack	tt0058150,tt0243155,tt0054518,tt0057197
nm0000304	Linda Blair	1959	\N	actress,soundtrack,producer	tt0088044,tt0082511,tt0085318,tt0070047
nm0000305	Mel Blanc	1908	1989	actor,soundtrack,music_department	tt0078915,tt0038576,tt0077278,tt0096438
nm0000306	Brian Blessed	1936	\N	actor,soundtrack,director	tt0346491,tt0080745,tt0120915,tt0097499
nm0000307	Helena Bonham Carter	1966	\N	actress,soundtrack,producer	tt1504320,tt0408236,tt1707386,tt0137523
nm0000308	Ernest Borgnine	1917	2012	actor,soundtrack,producer	tt0082340,tt0048356,tt0065214,tt0069113
nm0000309	David Bowie	1947	2016	soundtrack,actor,composer	tt0196229,tt0482571,tt0074851,tt0091369
nm0000310	Bruce Boxleitner	1950	\N	actor,producer	tt0871427,tt0084827,tt1104001,tt0105946
nm0000311	Annie Rosar	1888	1963	actress	tt0052996,tt0041552,tt0034396,tt0034800
nm0000312	Amy Brenneman	1964	\N	actress,producer,writer	tt0116287,tt0113277,tt0420015,tt0209069
nm0000313	Jeff Bridges	1949	\N	actor,soundtrack,producer	tt0118715,tt1263670,tt1403865,tt0088172
nm0000314	Charles Bronson	1921	2003	actor	tt0064116,tt0057115,tt0054047,tt0071402
nm0000315	Louise Brooks	1906	1985	actress,soundtrack	tt0017382,tt0021917,tt0018737,tt0020475
nm0000316	Mel Brooks	1926	\N	actor,writer,soundtrack	tt0395251,tt0094012,tt0071230,tt0082517
nm0000317	Clancy Brown	1959	\N	actor,soundtrack,producer	tt0803096,tt0120201,tt0111161,tt3501632
nm0000318	Tim Burton	1958	\N	producer,miscellaneous,director	tt0099487,tt0109707,tt0121164,tt1142977
nm0000319	Yancy Butler	1970	\N	actress	tt1250777,tt1650554,tt0107076,tt0274298
nm0000320	Luis Buñuel	1900	1983	writer,director,actor	tt0056732,tt0042804,tt0061395,tt0068361
nm0000321	Gabriel Byrne	1950	\N	actor,producer,writer	tt0120744,tt0100150,tt0114814,tt0146675
nm0000322	Emmanuelle Béart	1963	\N	actress,soundtrack	tt0189142,tt0283832,tt0113947,tt0117060
nm0000323	Michael Caine	1933	\N	actor,producer,soundtrack	tt0258068,tt0482571,tt0468569,tt0124315
nm0000324	Barbara Carrera	1945	\N	actress,soundtrack	tt0084112,tt0085862,tt0076210,tt0086006
nm0000325	David Caruso	1956	\N	actor,producer	tt0113552,tt0261983,tt0228750,tt0083944
nm0000326	Kim Cattrall	1956	\N	actress,producer,soundtrack	tt1261945,tt0102975,tt0159206,tt1000774
nm0000327	Lacey Chabert	1982	\N	actress,soundtrack,producer	tt0277371,tt0821640,tt0377092,tt0120738
nm0000328	Richard Chamberlain	1934	\N	actor,soundtrack,producer	tt0075232,tt0085101,tt0076299,tt0072308
nm0000329	Jackie Chan	1954	\N	actor,stunts,producer	tt0127357,tt0120812,tt1424310,tt0266915
nm0000330	Stockard Channing	1944	\N	actress,soundtrack,miscellaneous	tt0198021,tt0108149,tt0077631,tt0120791
nm0000331	Chevy Chase	1943	\N	actor,writer,soundtrack	tt0089155,tt0085995,tt0097958,tt0080487
nm0000332	Don Cheadle	1964	\N	actor,producer,soundtrack	tt0988047,tt0395169,tt0375679,tt1540133
nm0000333	Cher	1946	\N	soundtrack,actress,producer	tt0100140,tt0086312,tt1126591,tt0093565
nm0000334	Yun-Fat Chow	1955	\N	actor,writer,soundtrack	tt1098327,tt0190332,tt0092263,tt0473444
nm0000335	Glenn Close	1947	\N	actress,soundtrack,producer	tt0093010
nm0000336	James Coburn	1928	2002	actor,producer,director	tt0054047,tt0118564,tt0059557,tt0057115
nm0000337	Rachael Leigh Cook	1979	\N	actress,producer	tt0385700,tt0331811,tt0208988,tt0160862
nm0000338	Francis Ford Coppola	1939	\N	producer,director,writer	tt0078788,tt0071360,tt0068646,tt0071562
nm0000339	Roger Corman	1926	\N	producer,director,actor	tt0091419,tt0061189,tt0099612,tt0102926
nm0000340	Cindy Crawford	1966	\N	actress,producer,soundtrack	tt0113010,tt0120577,tt1441109,tt0115082
nm0000341	Michael Crichton	1942	2008	writer,producer,director	tt0107290,tt0070909,tt0117998,tt0108757
nm0000342	James Cromwell	1940	\N	actor,producer,soundtrack	tt2245084,tt0112431,tt0119488,tt0120689
nm0000343	David Cronenberg	1943	\N	director,actor,writer	tt0120907,tt0091064,tt0094964,tt0115964
nm0000344	Denise Crosby	1957	\N	actress,producer	tt0120647,tt0091003,tt0104119,tt0098084
nm0000345	Billy Crystal	1948	\N	actor,writer,producer	tt0098635,tt0101587,tt0122933,tt0113097
nm0000346	Macaulay Culkin	1980	\N	actor,director,producer	tt0102492,tt0099785,tt0107034,tt0104431
nm0000347	Tim Curry	1946	\N	actor,soundtrack,producer	tt0088930,tt0073629,tt0112715,tt0099810
nm0000348	Tony Curtis	1925	2010	actor,soundtrack,producer	tt0051525,tt0051036,tt0053291,tt0054331
nm0000349	Joan Cusack	1962	\N	actress,soundtrack,writer	tt0119229,tt0096463,tt1659337,tt0119360
nm0000350	Beverly D'Angelo	1951	\N	actress,soundtrack,producer	tt0079261,tt0085995,tt0120586,tt0097958
nm0000351	Donna D'Errico	1968	\N	actress,producer,director	tt8452572,tt3589144,tt7309348
nm0000352	Vincent D'Onofrio	1959	\N	actor,producer,soundtrack	tt0093058,tt0369610,tt0119654,tt0109707
nm0000353	Willem Dafoe	1955	\N	actor,soundtrack,producer	tt2278388,tt0189998,tt5649144,tt0145487
nm0000354	Matt Damon	1970	\N	producer,actor,soundtrack	tt3659388,tt0407887,tt0134119,tt0119217
nm0000355	Anthony Daniels	1946	\N	actor,producer,writer	tt0076759,tt0080684,tt0121766,tt2488496
nm0000356	Sybil Danning	1952	\N	actress,producer,writer	tt0085672,tt0373883,tt0085318,tt0080421
nm0000357	Lolita Davidovich	1961	\N	actress	tt0092513,tt0329717,tt0110146,tt0096943
nm0000358	Daniel Day-Lewis	1957	\N	actor,music_department,soundtrack	tt0104691,tt0443272,tt0469494,tt0217505
nm0000359	Olivier De Funès	1949	\N	actor,writer,soundtrack	tt0064425,tt0065848,tt0060475,tt0250077
nm0000360	Rebecca De Mornay	1959	\N	actress,soundtrack,producer	tt0104389,tt0396269,tt0089941,tt0086200
nm0000361	Brian De Palma	1940	\N	director,writer,producer	tt0080661,tt0094226,tt0280665,tt0071994
nm0000362	Danny DeVito	1944	\N	actor,producer,director	tt0094142,tt0117008,tt0103776,tt0098621
nm0000363	Loren Dean	1969	\N	actor,soundtrack	tt0186566,tt0120660,tt0119177,tt0098258
nm0000364	Sandra Dee	1942	2005	actress,soundtrack	tt0052918,tt0054759,tt0052847,tt0056093
nm0000365	Julie Delpy	1969	\N	actress,writer,director	tt0111507,tt0381681,tt0841044,tt0112471
nm0000366	Catherine Deneuve	1943	\N	actress,soundtrack,producer	tt0061395,tt0059646,tt0283832,tt0168629
nm0000367	Gérard Depardieu	1948	\N	actor,producer,soundtrack	tt0083789,tt0120744,tt0099334,tt0103594
nm0000368	Laura Dern	1967	\N	actress,producer,writer	tt0090756,tt0100935,tt0107290,tt2305051
nm0000369	Matt Dillon	1964	\N	actor,art_department,director	tt0375679,tt0120890,tt0097240,tt0129387
nm0000370	Walt Disney	1901	1966	producer,actor,director	tt0048280,tt0029583,tt0058331,tt0034492
nm0000371	Ami Dolenz	1969	\N	actress,producer,miscellaneous	tt0056758,tt0092718,tt0104879,tt0086765
nm0000372	Amanda Donohoe	1962	\N	actress,producer	tt0119528,tt0110428,tt0095488,tt0090466
nm0000373	Michael Dorn	1952	\N	actor,director,writer	tt0117731,tt0092455,tt0120844,tt0253754
nm0000374	Brad Dourif	1950	\N	actor	tt0094862,tt0073486,tt0095647,tt0167261
nm0000375	Robert Downey Jr.	1965	\N	actor,producer,soundtrack	tt0371746,tt0988045,tt1300854,tt0848228
nm0000376	Fran Drescher	1957	\N	writer,actress,producer	tt0076666,tt0837562,tt0106080,tt0118691
nm0000377	Richard Dreyfuss	1947	\N	actor,producer,soundtrack	tt0073195,tt0113862,tt0076095,tt0075860
nm0000378	Minnie Driver	1970	\N	actress,soundtrack,producer	tt0119229,tt0117665,tt0293508,tt0119217
nm0000379	Kirsten Dunst	1982	\N	actress,producer,director	tt0110148,tt0145487,tt1527186,tt0110367
nm0000380	Robert Duvall	1931	\N	actor,producer,soundtrack	tt0118632,tt0316356,tt0078788,tt0068646
nm0000381	Anthony Edwards	1962	\N	actor,producer,director	tt0108757,tt0088000,tt0092099,tt0817177
nm0000382	Atom Egoyan	1960	\N	director,writer,producer	tt0273435,tt0106504,tt0120255,tt1074929
nm0000383	Jennifer Ehle	1969	\N	actress	tt0112130,tt4919484,tt2392830,tt1790885
nm0000384	Danny Elfman	1953	\N	music_department,soundtrack,composer	tt0367594,tt0119654,tt0121164,tt0107688
nm0000385	Sam Elliott	1944	\N	actor,producer,writer	tt0277434,tt0118715,tt0098206,tt5655222
nm0000386	Roland Emmerich	1955	\N	writer,producer,director	tt0120685,tt0116629,tt1628841,tt0319262
nm0000387	Robert Englund	1947	\N	actor,miscellaneous,director	tt0093629,tt0087800,tt0095742,tt0329101
nm0000388	R. Lee Ermey	1944	2018	actor,miscellaneous,producer	tt0093058,tt0095647,tt0114369,tt0324216
nm0000389	Emilio Estevez	1962	\N	actor,director,writer	tt3294746,tt1441912,tt0308055,tt0088847
nm0000390	Joe Eszterhas	1944	\N	writer,producer,miscellaneous	tt0103772,tt0108162,tt0114436,tt0118577
nm0000391	Rupert Everett	1959	\N	actor,soundtrack,producer	tt0119738,tt0122541,tt0109592,tt0141369
nm0000392	Morgan Fairchild	1950	\N	actress,soundtrack,producer	tt0081858,tt1754944,tt0108778,tt0084652
nm0000393	Peter Falk	1927	2011	actor,producer,soundtrack	tt0093191,tt0074937,tt1466074,tt0093779
nm0000394	Chris Farley	1964	1997	actor,soundtrack,stunts	tt0106598,tt0118708,tt0115697,tt0114694
nm0000395	Terry Farrell	1963	\N	actress	tt0090685,tt0104409,tt0174378,tt0106145
nm0000396	Farrah Fawcett	1947	2009	actress,producer,soundtrack	tt0079285,tt0073972,tt0074812,tt0082136
nm0000397	Corey Feldman	1971	\N	actor,producer,soundtrack	tt0092005,tt0089218,tt0093437,tt0087363
nm0000398	Sally Field	1946	\N	actress,producer,soundtrack	tt0098384,tt0443272,tt0109830,tt0948470
nm0000399	David Fincher	1962	\N	producer,director,actor	tt2267998,tt1285016,tt0114369,tt0443706
nm0000400	Linda Fiorentino	1958	\N	actress,soundtrack	tt0088680,tt0119654,tt0120655,tt0110308
nm0000401	Laurence Fishburne	1961	\N	actor,producer,director	tt1598778,tt0327056,tt0234215,tt0133093
nm0000402	Carrie Fisher	1956	2016	actress,soundtrack,writer	tt0080684,tt2527336,tt0076759,tt0086190
nm0000403	Bridget Fonda	1964	\N	actress,soundtrack	tt0120324,tt0105414,tt0139414,tt0119396
nm0000404	Jane Fonda	1937	\N	actress,producer,soundtrack	tt0062711,tt3312830,tt0369735,tt0067309
nm0000405	Michelle Forbes	1965	\N	actress	tt0107302,tt0844441,tt0285331,tt0116225
nm0000406	John Ford	1894	1973	director,producer,writer	tt0031971,tt0056217,tt0032551,tt0045061
nm0000407	Vivica A. Fox	1964	\N	actress,producer,soundtrack	tt0118688,tt1628841,tt0266697,tt0116629
nm0000408	Jonathan Frakes	1952	\N	actor,director,producer	tt0253754,tt0120844,tt0117731,tt0111280
nm0000409	Brendan Fraser	1968	\N	actor,producer,soundtrack	tt0120616,tt0375679,tt0859163,tt0209163
nm0000410	Stephen Fry	1957	\N	actor,writer,producer	tt0434409,tt0371724,tt0120514,tt0280707
nm0000411	Edward Furlong	1977	\N	actor,producer,soundtrack	tt0103064,tt0107130,tt0120586,tt0165710
nm0000412	Andy Garcia	1956	\N	actor,producer,soundtrack	tt0343996,tt1981128,tt0240772,tt0099674
nm0000413	Janeane Garofalo	1964	\N	actress,writer,producer	tt0243655,tt0382932,tt0120032,tt0132347
nm0000414	Teri Garr	1947	\N	actress,soundtrack	tt0072431,tt0084805,tt0088680,tt0075860
nm0000415	Jami Gertz	1965	\N	actress,producer,executive	tt0088128,tt0093437,tt0320970,tt0117998
nm0000416	Terry Gilliam	1940	\N	writer,actor,animation_department	tt0088846,tt0071853,tt0081633,tt1054606
nm0000417	Crispin Glover	1964	\N	actor,soundtrack,producer	tt0310357,tt0091860,tt1729632,tt0088763
nm0000418	Danny Glover	1946	\N	actor,producer,director	tt0122151,tt0104714,tt0093409,tt1190080
nm0000419	Jean-Luc Godard	1930	\N	director,writer,editor	tt0053472,tt0055572,tt0058898,tt0086153
nm0000420	Valeria Golino	1965	\N	actress,producer,soundtrack	tt0102059,tt0107144,tt0095953,tt0116225
nm0000421	Cuba Gooding Jr.	1968	\N	actor,soundtrack,producer	tt0203019,tt0101507,tt0116695,tt0316465
nm0000422	John Goodman	1952	\N	actor,soundtrack,producer	tt1179933,tt1024648,tt0101410,tt1907668
nm0000423	Serena Grandi	1958	\N	actress	tt2358891,tt0104123,tt0089271,tt0089598
nm0000424	Hugh Grant	1960	\N	actor,soundtrack	tt0276751,tt0109831,tt0314331,tt0125439
nm0000425	Peter Greenaway	1942	\N	director,writer,editor	tt0446750,tt1702429,tt0092929,tt0097108
nm0000426	Jennifer Grey	1960	\N	actress,soundtrack	tt0092890,tt2013293,tt0087985,tt0091042
nm0000427	Pam Grier	1949	\N	actress,soundtrack,writer	tt0116225,tt0228333,tt0119396,tt0094602
nm0000428	D.W. Griffith	1875	1948	director,writer,producer	tt0012532,tt0010484,tt0004972,tt0006864
nm0000429	Melanie Griffith	1957	\N	actress,producer	tt0091983,tt0096463,tt0119558,tt0086984
nm0000430	Steve Guttenberg	1958	\N	actor,producer,soundtrack	tt0087928,tt0088933,tt0094137,tt0091949
nm0000431	Taylor Hackford	1944	\N	producer,director,writer	tt0109642,tt0084434,tt0106469,tt0350258
nm0000432	Gene Hackman	1930	\N	actor,soundtrack,producer	tt0105695,tt0265666,tt0069113,tt0067116
nm0000433	Corey Haim	1971	2010	actor,producer,soundtrack	tt0093437,tt0091445,tt1121931,tt0095519
nm0000434	Mark Hamill	1951	\N	actor,producer,soundtrack	tt2527336,tt0076759,tt0086190,tt0080684
nm0000435	Daryl Hannah	1960	\N	actress,producer,soundtrack	tt0266697,tt0094291,tt0378194,tt0088161
nm0000436	Curtis Hanson	1945	2016	director,producer,writer	tt0104389,tt0119488,tt0298203,tt0388125
nm0000437	Woody Harrelson	1961	\N	actor,producer,soundtrack	tt0117318,tt1156398,tt2356777,tt0110632
nm0000438	Ed Harris	1950	\N	actor,producer,director	tt0800308,tt0096754,tt0112384,tt0120382
nm0000439	Neil Patrick Harris	1973	\N	actor,soundtrack,producer	tt0120201,tt4834206,tt0460649,tt2267998
nm0000440	Nina Hartley	1959	\N	actress,director,producer	tt0118749,tt0189990,tt1282224,tt0126098
nm0000441	Noah Hathaway	1971	\N	actor,miscellaneous	tt0092115,tt0076984,tt0077215,tt0088323
nm0000442	Rutger Hauer	1944	\N	actor,producer,director	tt1640459,tt0083658,tt0372784,tt0401792
nm0000443	Goldie Hawn	1945	\N	actress,producer,soundtrack	tt0116313,tt0093693,tt0104070,tt0116242
nm0000444	Glenne Headly	1955	2017	actress	tt0099422,tt0095031,tt2229499,tt0113862
nm0000445	Dan Hedaya	1940	\N	actor,soundtrack	tt0166924,tt0086979,tt0112697,tt0114814
nm0000446	Mariel Hemingway	1961	\N	actress,soundtrack,producer	tt0208874,tt0159730,tt0094074,tt0079522
nm0000447	Marilu Henner	1952	\N	actress,miscellaneous,producer	tt0087507,tt0077089,tt0105017,tt0102250
nm0000448	Lance Henriksen	1940	\N	actor,miscellaneous	tt0107076,tt0090605,tt0093605,tt0088247
nm0000449	Natasha Henstridge	1974	\N	actress,producer,soundtrack	tt0800240,tt0114508,tt0190138,tt0228333
nm0000450	Philip Seymour Hoffman	1967	2014	actor,producer,soundtrack	tt1560747,tt0472062,tt0379725,tt0181875
nm0000451	Gaby Hoffmann	1982	\N	actress,soundtrack,director	tt0120461,tt0097351,tt0116242,tt0114011
nm0000452	Lauren Holly	1963	\N	actress,producer	tt0115639,tt0109686,tt0103512,tt0207201
nm0000453	Ian Holm	1931	\N	actor,soundtrack,animation_department	tt0120255,tt0382932,tt0120737,tt0167260
nm0000454	Dennis Hopper	1936	2010	actor,director,writer	tt0114898,tt0111257,tt0090756,tt0064276
nm0000455	John Hughes	1950	2009	writer,producer,director	tt0093748,tt0091042,tt0088847,tt0098554
nm0000456	Holly Hunter	1958	\N	actress,producer,soundtrack	tt0107822,tt0328538,tt0092699,tt5462602
nm0000457	John Hurt	1940	2017	actor,soundtrack	tt0167190,tt0078748,tt0080678,tt0087803
nm0000458	William Hurt	1950	\N	actor,producer	tt0399146,tt0080360,tt0118929,tt0120738
nm0000459	Timothy Hutton	1960	\N	actor,producer,director	tt0115639,tt0343737,tt1103987,tt0081283
nm0000460	Jeremy Irons	1948	\N	actor,soundtrack,producer	tt2975590,tt2094766,tt0110357,tt0094964
nm0000461	Michael Ironside	1950	\N	actor,producer,writer	tt0120201,tt0100802,tt0092099,tt0081455
nm0000462	Kate Jackson	1948	\N	actress,producer,director	tt0073972,tt0059978,tt0068126,tt0085088
nm0000463	Famke Janssen	1964	\N	actress,writer,director	tt0185371,tt0120903,tt0376994,tt0113189
nm0000464	Jim Jarmusch	1953	\N	director,writer,actor	tt5247022,tt0088184,tt0412019,tt1714915
nm0000465	Ron Jeremy	1953	\N	actor,director,writer	tt0144117,tt0124819,tt0184858,tt0165710
nm0000466	Jean-Pierre Jeunet	1953	\N	director,writer,producer	tt0344510,tt0211915,tt0101700,tt1149361
nm0000467	Don Johnson	1949	\N	actor,producer,soundtrack	tt1853728,tt0072730,tt0086759,tt0985694
nm0000468	Lynn-Holly Johnson	1958	\N	actress,director	tt0088395,tt0077716,tt0081738,tt0082398
nm0000469	James Earl Jones	1931	\N	actor,soundtrack	tt0094898,tt0099810,tt3748528,tt0086190
nm0000470	Jeffrey Jones	1946	\N	actor	tt0091042,tt0109707,tt0091225,tt0086879
nm0000471	Raul Julia	1940	1994	actor,soundtrack	tt0101272,tt0089424,tt0106220,tt0111301
nm0000472	Boris Karloff	1887	1969	actor,soundtrack	tt0026138,tt0060345,tt0024894,tt0023293
nm0000473	Diane Keaton	1946	\N	actress,producer,director	tt0075686,tt0356680,tt0337741,tt0079522
nm0000474	Michael Keaton	1951	\N	actor,producer,soundtrack	tt0094721,tt1895587,tt2562232,tt4276820
nm0000475	Patsy Kensit	1968	\N	actress,soundtrack	tt0079268,tt0097733,tt0090585,tt0068069
nm0000476	Sally Kirkland	1941	\N	actress,producer,miscellaneous	tt0102138,tt0092569,tt3216866,tt0131369
nm0000477	Mia Kirshner	1975	\N	actress	tt0330251,tt0387877,tt3520702
nm0000478	Tawny Kitaen	1961	\N	actress,producer	tt0111999,tt0087903,tt0086927,tt0086793
nm0000479	Walter Koenig	1936	\N	actor,writer,producer	tt0084726,tt0092007,tt0060028,tt0102975
nm0000480	Elias Koteas	1961	\N	actor,producer	tt0120863,tt0114194,tt0822854,tt0115964
nm0000481	Alice Krige	1954	\N	actress,producer,writer	tt1981115,tt0384537,tt0105428,tt0117731
nm0000482	Sylvia Kristel	1952	2012	actress,soundtrack,director	tt0078740,tt0079152,tt0081249,tt0071464
nm0000483	Christopher Lambert	1957	\N	actor,producer,writer	tt0113855,tt0120604,tt0091203,tt0090095
nm0000484	John Landis	1950	\N	producer,director,actor	tt0086491,tt0118747,tt0080455,tt0082010
nm0000485	Fritz Lang	1890	1976	director,writer,producer	tt0019901,tt0022100,tt0057345,tt0017136
nm0000486	Heather Langenkamp	1964	\N	actress,special_effects,make_up_department	tt0111686,tt0094490,tt0093629,tt0087800
nm0000487	Ang Lee	1954	\N	director,producer,writer	tt0808357,tt0388795,tt0190332,tt0454876
nm0000488	Brandon Lee	1965	1993	actor,miscellaneous	tt0102915,tt0105219,tt0099978,tt0109506
nm0000489	Christopher Lee	1922	2015	actor,soundtrack,producer	tt0070917,tt0120737,tt0121765,tt0167261
nm0000490	Spike Lee	1957	\N	director,producer,writer	tt0091939,tt0097216,tt0104797,tt0102175
nm0000491	John Leguizamo	1964	\N	actor,writer,producer	tt0203009,tt0119887,tt0120177,tt0117509
nm0000492	Jennifer Jason Leigh	1962	\N	actress,producer,soundtrack	tt2401878,tt3460252,tt0109642,tt0105414
nm0000493	Jack Lemmon	1925	2001	actor,soundtrack,producer	tt0053291,tt0104348,tt0053604,tt0107050
nm0000494	Robert Sean Leonard	1969	\N	actor,soundtrack	tt0412142,tt0108265,tt0106226,tt0097165
nm0000495	Téa Leoni	1966	\N	actress,producer	tt0218967,tt0371246,tt0163025,tt0120647
nm0000496	Juliette Lewis	1973	\N	actress,soundtrack,director	tt1322269,tt0116367,tt0110632,tt0101540
nm0000497	Jennifer Lien	1974	\N	actress,producer,miscellaneous	tt0112178,tt0106100,tt0127385,tt0120586
nm0000498	Matthew Lillard	1970	\N	actor,producer,soundtrack	tt0133189,tt0331632,tt1033575,tt0267913
nm0000499	Bai Ling	1966	\N	actress,producer,writer	tt1121931,tt0405336,tt0119994,tt0109506
nm0000500	Richard Linklater	1960	\N	producer,director,writer	tt2209418,tt0243017,tt1065073,tt0405296
nm0000501	Ray Liotta	1954	\N	actor,producer,soundtrack	tt0365686,tt0272207,tt0314123,tt0099685
nm0000502	Christopher Lloyd	1938	\N	actor,soundtrack	tt0099088,tt0088763,tt0096438,tt0106220
nm0000503	Emily Lloyd	1970	\N	actress	tt0120490,tt0094331,tt0105265,tt0097109
nm0000504	Amy Locane	1971	\N	actress,soundtrack	tt0105327,tt0274812,tt0099329,tt0109068
nm0000505	Nia Long	1970	\N	actress,soundtrack	tt0181984,tt0197182,tt0208003,tt2083355
nm0000506	Julia Louis-Dreyfus	1961	\N	actress,producer,soundtrack	tt0462128,tt2390361,tt0098904,tt1759761
nm0000507	Rob Lowe	1964	\N	actor,producer,soundtrack	tt0090060,tt1058017,tt0086066,tt0105793
nm0000508	Carey Lowell	1961	\N	actress	tt0113627,tt0098844,tt0097742,tt0108160
nm0000509	Bela Lugosi	1882	1956	actor,costume_department,soundtrack	tt0021814,tt0047898,tt0045826,tt0024894
nm0000510	Andie MacDowell	1958	\N	actress,producer,soundtrack	tt0107048,tt0109831,tt0102070,tt0098724
nm0000511	Shirley MacLaine	1934	\N	actress,soundtrack,writer	tt0098384,tt0048750,tt0086425,tt0053604
